"","minExpected","MinPlayed","Prob"
"390",17,19,0.068615
"391",17,20,0.065527
"392",17,21,0.060369
"393",17,22,0.053103
"394",17,23,0.045523
"395",17,24,0.036715
"396",17,25,0.028225
"397",17,26,0.020912
"398",17,27,0.014494
"399",17,28,0.00964
"400",17,29,0.005814
"401",17,30,0.003259
"402",17,31,0.001684
"403",17,32,0.000817
"404",17,33,0.000304
"405",17,34,0.000123
"406",17,35,3.3e-05
"407",17,36,9e-06
"408",17,37,3e-06
"409",18,1,0.001878
"410",18,2,0.002692
"411",18,3,0.003661
"412",18,4,0.005035
"413",18,5,0.006839
"414",18,6,0.0089
"415",18,7,0.011943
"416",18,8,0.015181
"417",18,9,0.019679
"418",18,10,0.024621
"419",18,11,0.030016
"420",18,12,0.03636
"421",18,13,0.043124
"422",18,14,0.049417
"423",18,15,0.056466
"424",18,16,0.06202
"425",18,17,0.066607
"426",18,18,0.069571
"427",18,19,0.070377
"428",18,20,0.069327
"429",18,21,0.065991
"430",18,22,0.060955
"431",18,23,0.053616
"432",18,24,0.045702
"433",18,25,0.03686
"434",18,26,0.028324
"435",18,27,0.020791
"436",18,28,0.014102
"437",18,29,0.009025
"438",18,30,0.005421
"439",18,31,0.002947
"440",18,32,0.001497
"441",18,33,0.000645
"442",18,34,0.000279
"443",18,35,9.6e-05
"444",18,36,2.8e-05
"445",18,37,6e-06
"446",18,38,1e-06
"447",19,1,0.001215
"448",19,2,0.001788
"449",19,3,0.002519
"450",19,4,0.003572
"451",19,5,0.004914
"452",19,6,0.006494
"453",19,7,0.008713
"454",19,8,0.011735
"455",19,9,0.015177
"456",19,10,0.019094
"457",19,11,0.024072
"458",19,12,0.029571
"459",19,13,0.035692
"460",19,14,0.042749
"461",19,15,0.049113
"462",19,16,0.055799
"463",19,17,0.061967
"464",19,18,0.066575
"465",19,19,0.070294
"466",19,20,0.071464
"467",19,21,0.070702
"468",19,22,0.067153
"469",19,23,0.061483
"470",19,24,0.054298
"471",19,25,0.045874
"472",19,26,0.036823
"473",19,27,0.028272
"474",19,28,0.020288
"475",19,29,0.013843
"476",19,30,0.008636
"477",19,31,0.005135
"478",19,32,0.00272
"479",19,33,0.001322
"480",19,34,0.000607
"481",19,35,0.000225
"482",19,36,8e-05
"483",19,37,1.6e-05
"484",19,38,6e-06
"485",20,1,0.000803
"486",20,2,0.001151
"487",20,3,0.001692
"488",20,4,0.002464
"489",20,5,0.003458
"490",20,6,0.004718
"491",20,7,0.006367
"492",20,8,0.008434
"493",20,9,0.0113
"494",20,10,0.014726
"495",20,11,0.018703
"496",20,12,0.02353
"497",20,13,0.029477
"498",20,14,0.03552
"499",20,15,0.042265
"500",20,16,0.049728
"501",20,17,0.055678
"502",20,18,0.062249
"503",20,19,0.066939
"504",20,20,0.070664
"505",20,21,0.07192
"506",20,22,0.070992
"507",20,23,0.067678
"508",20,24,0.062073
"509",20,25,0.055296
"510",20,26,0.045701
"511",20,27,0.037055
"512",20,28,0.028454
"513",20,29,0.020276
"514",20,30,0.013285
"515",20,31,0.008281
"516",20,32,0.004763
"517",20,33,0.002488
"518",20,34,0.001147
"519",20,35,0.000494
"520",20,36,0.000175
"521",20,37,4.7e-05
"522",20,38,8e-06
"523",20,39,1e-06
"524",21,1,0.000585
"525",21,2,0.000809
"526",21,3,0.001193
"527",21,4,0.001758
"528",21,5,0.002395
"529",21,6,0.003414
"530",21,7,0.004502
"531",21,8,0.0062
"532",21,9,0.008243
"533",21,10,0.011036
"534",21,11,0.0144
"535",21,12,0.01864
"536",21,13,0.023497
"537",21,14,0.029154
"538",21,15,0.035296
"539",21,16,0.042249
"540",21,17,0.04897
"541",21,18,0.055984
"542",21,19,0.062378
"543",21,20,0.067526
"544",21,21,0.070575
"545",21,22,0.073119
"546",21,23,0.071035
"547",21,24,0.068746
"548",21,25,0.062479
"549",21,26,0.055173
"550",21,27,0.046363
"551",21,28,0.036638
"552",21,29,0.028107
"553",21,30,0.02006
"554",21,31,0.013188
"555",21,32,0.007998
"556",21,33,0.00441
"557",21,34,0.002213
"558",21,35,0.001088
"559",21,36,0.000389
"560",21,37,0.000141
"561",21,38,3.9e-05
"562",21,39,9e-06
"563",21,40,1e-06
"564",22,1,0.000359
"565",22,2,0.000593
"566",22,3,0.000825
"567",22,4,0.001123
"568",22,5,0.001646
"569",22,6,0.002384
"570",22,7,0.003241
"571",22,8,0.00467
"572",22,9,0.00604
"573",22,10,0.008313
"574",22,11,0.011068
"575",22,12,0.014033
"576",22,13,0.018264
"577",22,14,0.02317
"578",22,15,0.028997
"579",22,16,0.035301
"580",22,17,0.042119
"581",22,18,0.048498
"582",22,19,0.056193
"583",22,20,0.062329
"584",22,21,0.067672
"585",22,22,0.071765
"586",22,23,0.073066
"587",22,24,0.072254
"588",22,25,0.069084
"589",22,26,0.063276
"590",22,27,0.054974
"591",22,28,0.046644
"592",22,29,0.037043
"593",22,30,0.027535
"594",22,31,0.019444
"595",22,32,0.012965
"596",22,33,0.007565
"597",22,34,0.004256
"598",22,35,0.001986
"599",22,36,0.000847
"600",22,37,0.000332
"601",22,38,0.000103
"602",22,39,2.1e-05
"603",22,40,1e-06
"604",22,41,1e-06
"605",23,1,0.000255
"606",23,2,0.000335
"607",23,3,0.000564
"608",23,4,0.000764
"609",23,5,0.00121
"610",23,6,0.001706
"611",23,7,0.002362
"612",23,8,0.0032
"613",23,9,0.004389
"614",23,10,0.006107
"615",23,11,0.008157
"616",23,12,0.010656
"617",23,13,0.014111
"618",23,14,0.017945
"619",23,15,0.023049
"620",23,16,0.028819
"621",23,17,0.035007
"622",23,18,0.041722
"623",23,19,0.048946
"624",23,20,0.055981
"625",23,21,0.062406
"626",23,22,0.067702
"627",23,23,0.071894
"628",23,24,0.073969
"629",23,25,0.072441
"630",23,26,0.069299
"631",23,27,0.063683
"632",23,28,0.056181
"633",23,29,0.046657
"634",23,30,0.036912
"635",23,31,0.02772
"636",23,32,0.019101
"637",23,33,0.012429
"638",23,34,0.007345
"639",23,35,0.003898
"640",23,36,0.001959
"641",23,37,0.000751
"642",23,38,0.000284
"643",23,39,7.3e-05
"644",23,40,1e-05
"645",23,42,1e-06
"646",24,1,0.000154
"647",24,2,0.000257
"648",24,3,0.000364
"649",24,4,0.000549
"650",24,5,0.000752
"651",24,6,0.001134
"652",24,7,0.001628
"653",24,8,0.002245
"654",24,9,0.003172
"655",24,10,0.004423
"656",24,11,0.006002
"657",24,12,0.008085
"658",24,13,0.010649
"659",24,14,0.014071
"660",24,15,0.017891
"661",24,16,0.022909
"662",24,17,0.02814
"663",24,18,0.034389
"664",24,19,0.041333
"665",24,20,0.049253
"666",24,21,0.055919
"667",24,22,0.062557
"668",24,23,0.068304
"669",24,24,0.071769
"670",24,25,0.07393
"671",24,26,0.073655
"672",24,27,0.070108
"673",24,28,0.06434
"674",24,29,0.056249
"675",24,30,0.046898
"676",24,31,0.037072
"677",24,32,0.027418
"678",24,33,0.019058
"679",24,34,0.012097
"680",24,35,0.006977
"681",24,36,0.003687
"682",24,37,0.001699
"683",24,38,0.000639
"684",24,39,0.000194
"685",24,40,2.9e-05
"686",24,41,1e-06
"687",25,1,0.000128
"688",25,2,0.00016
"689",25,3,0.000259
"690",25,4,0.000381
"691",25,5,0.000552
"692",25,6,0.000785
"693",25,7,0.001158
"694",25,8,0.00157
"695",25,9,0.002258
"696",25,10,0.003122
"697",25,11,0.004433
"698",25,12,0.005874
"699",25,13,0.007914
"700",25,14,0.010594
"701",25,15,0.013745
"702",25,16,0.017822
"703",25,17,0.022727
"704",25,18,0.027817
"705",25,19,0.034056
"706",25,20,0.041204
"707",25,21,0.048698
"708",25,22,0.055672
"709",25,23,0.06276
"710",25,24,0.06841
"711",25,25,0.07252
"712",25,26,0.074535
"713",25,27,0.074311
"714",25,28,0.070469
"715",25,29,0.065128
"716",25,30,0.056779
"717",25,31,0.047269
"718",25,32,0.03739
"719",25,33,0.027024
"720",25,34,0.018677
"721",25,35,0.011595
"722",25,36,0.006682
"723",25,37,0.003336
"724",25,38,0.001509
"725",25,39,0.000577
"726",25,40,7.9e-05
"727",25,41,1.6e-05
"728",25,42,5e-06
"729",26,1,7e-05
"730",26,2,0.000104
"731",26,3,0.000168
"732",26,4,0.000212
"733",26,5,0.000364
"734",26,6,0.000525
"735",26,7,0.000768
"736",26,8,0.001172
"737",26,9,0.001595
"738",26,10,0.002268
"739",26,11,0.00322
"740",26,12,0.004391
"741",26,13,0.005888
"742",26,14,0.007931
"743",26,15,0.010513
"744",26,16,0.013542
"745",26,17,0.01763
"746",26,18,0.022314
"747",26,19,0.027916
"748",26,20,0.034039
"749",26,21,0.040928
"750",26,22,0.048211
"751",26,23,0.0559
"752",26,24,0.06269
"753",26,25,0.068212
"754",26,26,0.072767
"755",26,27,0.074752
"756",26,28,0.074661
"757",26,29,0.071738
"758",26,30,0.065657
"759",26,31,0.057221
"760",26,32,0.047911
"761",26,33,0.037057
"762",26,34,0.027056
"763",26,35,0.018409
"764",26,36,0.011391
"765",26,37,0.006255
"766",26,38,0.003022
"767",26,39,0.001268
"768",26,40,0.000211
"769",26,41,4.2e-05
"770",26,42,1.1e-05
"771",27,1,4.3e-05
"772",27,2,9.1e-05
"773",27,3,9.1e-05
"774",27,4,0.000155
"775",27,5,0.00025
"776",27,6,0.000395
"777",27,7,0.00063
"778",27,8,0.000812
"779",27,9,0.001153
"780",27,10,0.001595
"781",27,11,0.002277
"782",27,12,0.003075
"783",27,13,0.004278
"784",27,14,0.005801
"785",27,15,0.007752
"786",27,16,0.010371
"787",27,17,0.013524
"788",27,18,0.017532
"789",27,19,0.02217
"790",27,20,0.027717
"791",27,21,0.033715
"792",27,22,0.040626
"793",27,23,0.047863
"794",27,24,0.055541
"795",27,25,0.062523
"796",27,26,0.068578
"797",27,27,0.072956
"798",27,28,0.075753
"799",27,29,0.074986
"800",27,30,0.07214
"801",27,31,0.066438
"802",27,32,0.058268
"803",27,33,0.048128
"804",27,34,0.03781
"805",27,35,0.026911
"806",27,36,0.0181
"807",27,37,0.010803
"808",27,38,0.005729
"809",27,39,0.002681
"810",27,40,0.000556
"811",27,41,0.000162
"812",27,42,1.9e-05
"813",27,43,2e-06
"814",28,1,2.6e-05
"815",28,2,7e-05
"816",28,3,7.8e-05
"817",28,4,0.000117
"818",28,5,0.00019
"819",28,6,0.000275
"820",28,7,0.000396
"821",28,8,0.000535
"822",28,9,0.000877
"823",28,10,0.001231
"824",28,11,0.001579
"825",28,12,0.00223
"826",28,13,0.003073
"827",28,14,0.004324
"828",28,15,0.005796
"829",28,16,0.007614
"830",28,17,0.010392
"831",28,18,0.013254
"832",28,19,0.017383
"833",28,20,0.021613
"834",28,21,0.027467
"835",28,22,0.033647
"836",28,23,0.040209
"837",28,24,0.047527
"838",28,25,0.055096
"839",28,26,0.062681
"840",28,27,0.068464
"841",28,28,0.073361
"842",28,29,0.076302
"843",28,30,0.076306
"844",28,31,0.073253
"845",28,32,0.066907
"846",28,33,0.059186
"847",28,34,0.04875
"848",28,35,0.037404
"849",28,36,0.026975
"850",28,37,0.017929
"851",28,38,0.01048
"852",28,39,0.005327
"853",28,40,0.001204
"854",28,41,0.000385
"855",28,42,7.3e-05
"856",28,43,1.3e-05
"857",28,44,1e-06
"858",29,1,2.7e-05
"859",29,2,4.4e-05
"860",29,3,5.7e-05
"861",29,4,7e-05
"862",29,5,0.000139
"863",29,6,0.00018
"864",29,7,0.000264
"865",29,8,0.000351
"866",29,9,0.000551
"867",29,10,0.000805
"868",29,11,0.001123
"869",29,12,0.001637
"870",29,13,0.002219
"871",29,14,0.003151
"872",29,15,0.004135
"873",29,16,0.005678
"874",29,17,0.007567
"875",29,18,0.009951
"876",29,19,0.013227
"877",29,20,0.016845
"878",29,21,0.02129
"879",29,22,0.026528
"880",29,23,0.033118
"881",29,24,0.040063
