"","PlayerId","seasonYear","GameId","Date","Team","Name","Position","Starter","Min","Fg.Made","Fg.Attempted","Three.Made","Three.Attempted","FT.Made","FT.Attempted","Offensive.Rebound","Defensive.Rebound","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Plus.Minus","Points","bookmaker","id","cumMinInSeason","cumGamesPlayedInSeason","averageMinutesInSeason","lastGameMin","FirstDate","firstGame","LastDate"
"19170",4066421,"2025",401704674,20241028,"CHI","L. Ball","PG",0,18,2,4,2,4,0,0,0,1,1,6,0,1,0,0,16,6,"","401704674_4066421",48,3,16,18,20241023,0,20241028
"19172",4066436,"2025",401703376,20241112,"GS","D. Melton","SG",1,26,6,12,2,6,0,0,1,3,4,4,1,0,2,2,12,14,"","401703376_4066436",121,6,20.1666666666667,26,20241023,0,20241112
"19236",4066450,"2024",401585097,20240103,"BKN","A. Brooks","G",0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,"","401585097_4066450",103,10,10.3,3,20231027,0,20240103
"19245",4066457,"2025",401704797,20241116,"LAL","A. Reaves","SG",1,41,3,15,2,9,2,2,1,1,2,7,1,0,0,1,9,10,"","401704797_4066457",453,13,34.8461538461538,41,20241022,0,20241116
"19357",4066508,"2024",401658197,20240517,"NY","C. Brown Jr.","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401658197_4066508",NA,NA,4.625,1,20231205,0,20240517
"19401",4066636,"2024",401655123,20240505,"ORL","M. Fultz","PG",0,13,4,6,0,0,0,0,1,0,1,0,1,0,1,2,-13,8,"","401655123_4066636",1016,50,20.32,13,20231025,0,20240505
"19425",4066648,"2025",401704791,20241113,"LAL","R. Hachimura","PF",1,36,6,7,3,4,4,5,3,4,7,3,1,1,1,1,7,19,"","401704791_4066648",339,10,33.9,36,20241022,0,20241113
"19513",4066650,"2025",401704798,20241116,"SA","Z. Collins","PF",1,26,6,13,0,5,8,8,2,4,6,0,1,3,2,5,-15,20,"","401704798_4066650",209,14,14.9285714285714,26,20241024,0,20241116
"19596",4066668,"2024",401585825,20240414,"DET","M. Flynn","PG",0,20,2,8,0,4,0,0,0,1,1,3,1,0,1,0,-17,4,"","401585825_4066668",876,68,12.8823529411765,20,20231025,0,20240414
"19752",4066731,"2024",401585817,20240414,"TOR","J. McDaniels","PF",0,23,2,7,1,2,2,2,0,2,2,2,1,0,2,3,-1,7,"","401585817_4066731",538,50,10.76,23,20231025,0,20240414
"19757",4066736,"2024",401585603,20240316,"SAC","J. Ford","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585603_4066736",NA,NA,3.33333333333333,8,20231025,0,20240316
"19795",4066757,"2025",401704778,20241111,"CLE","S. Merrill","SG",0,18,0,5,0,5,0,0,0,1,1,3,0,0,1,3,11,0,"","401704778_4066757",236,12,19.6666666666667,18,20241023,0,20241111
"19899",4066786,"2025",401704811,20241118,"PHI","J. Dowtin Jr.","PG",0,20,1,3,0,2,0,0,0,2,2,5,0,0,1,2,9,2,"","401704811_4066786",81,8,10.125,20,20241023,0,20241118
"19906",4066796,"2024",401585821,20240414,"MEM","D. Jarreau","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585821_4066796",NA,NA,16.6666666666667,10,20240310,0,20240414
"19923",4066808,"2025",401704805,20241117,"POR","T. Moore","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704805_4066808",NA,NA,-1,-1,20241025,0,20241117
"19936",4066993,"2025",401704811,20241118,"MIA","D. Smith","G",0,25,4,7,2,4,0,0,0,6,6,3,3,0,1,1,23,10,"","401704811_4066993",52,5,10.4,25,20241023,0,20241118
"19969",4067017,"2024",401656361,20240612,"DAL","A.J. Lawson","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401656361_4067017",NA,NA,7.21739130434783,3,20231201,0,20240612
"20038",4067858,"2024",401655120,20240427,"ORL","K. Harris","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655120_4067858",NA,NA,3,3,20240119,0,20240427
"20041",4080610,"2024",401585396,20240212,"WSH","H. Diallo","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585396_4080610",NA,NA,2.5,1,20240110,0,20240212
"20065",4222252,"2024",401658198,20240519,"NY","I. Hartenstein","C",1,30,0,2,0,0,0,0,3,5,8,2,1,1,2,4,-24,0,"","401658198_4222252",2287,88,25.9886363636364,30,20231025,0,20240519
"20144",4230547,"2024",401585373,20240209,"CHA","F. Ntilikina","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585373_4230547",NA,NA,8.6,10,20231027,0,20240209
"20160",4230557,"2025",401704804,20241117,"DEN","V. Cancar","SF",0,13,1,2,0,1,0,0,1,0,1,0,0,0,1,3,-9,2,"","401704804_4230557",23,3,7.66666666666667,13,20241024,0,20241117
"20195",4277811,"2025",401704809,20241117,"UTAH","C. Sexton","PG",1,20,4,9,3,5,0,0,1,3,4,3,0,0,3,4,-8,11,"","401704809_4277811",344,13,26.4615384615385,20,20241023,0,20241117
"20255",4277812,"2025",401704691,20241030,"OKC","A. Reese","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704691_4277812",NA,NA,2,2,20241024,0,20241030
"20318",4277813,"2025",401704682,20241029,"NO","H. Jones","SF",1,20,2,3,1,2,0,0,0,3,3,0,1,0,1,0,7,5,"","401704682_4277813",113,4,28.25,20,20241023,0,20241029
"20353",4277843,"2025",401704814,20241118,"MIL","G. Trent Jr.","SG",0,24,4,8,4,6,0,0,0,1,1,0,1,0,0,5,15,12,"","401704814_4277843",296,12,24.6666666666667,24,20241023,0,20241118
"20475",4277847,"2025",401704719,20241103,"ORL","W. Carter Jr.","C",1,9,2,5,0,2,2,2,1,0,1,2,2,0,0,1,1,6,"","401704719_4277847",158,6,26.3333333333333,9,20241023,0,20241103
"20566",4277848,"2025",401704812,20241118,"WSH","M. Bagley III","PF",0,6,1,3,0,0,0,0,0,0,0,0,1,0,0,0,-1,2,"","401704812_4277848",55,9,6.11111111111111,6,20241024,0,20241118
"20592",4277850,"2024",401585825,20240414,"SA","R. Gray","F",0,23,5,9,0,2,0,0,2,3,5,4,0,1,0,0,15,10,"","401585825_4277850",40,3,13.3333333333333,23,20240315,0,20240414
"20618",4277869,"2025",401704797,20241116,"NO","J. Alvarado","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704797_4277869",NA,NA,25.6363636363636,18,20241023,0,20241116
"20678",4277880,"2024",401585817,20240414,"TOR","M. Williams","C",0,11,3,7,0,1,0,0,2,2,4,0,0,0,0,2,-12,6,"","401585817_4277880",106,7,15.1428571428571,11,20240403,0,20240414
"20697",4277883,"2024",401585817,20240414,"TOR","J. Nwora","SF",0,21,6,10,2,4,0,0,2,9,11,1,0,0,2,1,-4,14,"","401585817_4277883",710,52,13.6538461538462,21,20231025,0,20240414
"20770",4277887,"2024",401585105,20240104,"MIL","L. Wigginton","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585105_4277887",NA,NA,3.5,5,20231108,0,20240104
"20832",4277890,"2024",401585820,20240414,"BKN","L. Walker IV","G",0,29,6,15,0,6,0,0,0,6,6,5,1,2,2,0,-24,12,"","401585820_4277890",1015,58,17.5,29,20231025,0,20240414
"20889",4277905,"2025",401704816,20241118,"ATL","T. Young","PG",1,36,1,7,0,2,5,5,0,3,3,19,2,0,5,1,15,7,"","401704816_4277905",508,14,36.2857142857143,36,20241023,0,20241118
"20985",4277919,"2025",401704817,20241118,"LAC","M. Bamba","C",0,7,1,1,0,0,1,2,0,2,2,0,2,0,0,1,-13,3,"","401704817_4277919",22,2,11,7,20241117,0,20241118
"21018",4277922,"2025",401704812,20241118,"NY","J. Sims","C",0,19,3,4,0,0,1,1,1,6,7,0,0,1,1,1,13,7,"","401704812_4277922",193,14,13.7857142857143,19,20241022,0,20241118
"21112",4277923,"2024",401585448,20240225,"CLE","Z. Smith","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585448_4277923",NA,NA,-1,-1,20240212,0,20240225
"21149",4277951,"2025",401704800,20241117,"MIN","L. Garza","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704800_4277951",NA,NA,4.25,5,20241022,0,20241117
"21264",4277952,"2025",401704813,20241118,"TOR","B. Fernando","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704813_4277952",NA,NA,9.09090909090909,9,20241023,0,20241118
"21327",4277956,"2025",401704812,20241118,"WSH","J. Poole","SG",1,27,3,7,1,4,1,2,1,3,4,5,0,0,1,3,-14,8,"","401704812_4277956",390,13,30,27,20241024,0,20241118
"21413",4277957,"2024",401585484,20240229,"WSH","I. Livers","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585484_4277957",NA,NA,20.3913043478261,16,20231114,0,20240229
"21427",4277961,"2025",401704804,20241117,"MEM","J. Jackson Jr.","PF",1,31,7,16,2,5,4,4,2,4,6,2,1,3,1,1,15,20,"","401704804_4277961",345,12,28.75,31,20241026,0,20241117
"21579",4277964,"2025",401704796,20241116,"BOS","X. Tillman","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704796_4277964",NA,NA,10.4444444444444,2,20241022,0,20241116
"21629",4278031,"2024",401656361,20240612,"BOS","O. Brissett","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401656361_4278031",NA,NA,10.7903225806452,3,20231025,0,20240612
"21764",4278039,"2025",401704800,20241117,"MIN","N. Alexander-Walker","SG",0,20,4,6,0,1,0,0,1,1,2,2,0,1,2,0,0,8,"","401704800_4278039",330,14,23.5714285714286,20,20241022,0,20241117
"21827",4278046,"2024",401654762,20240421,"OKC","O. Sarr","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401654762_4278046",NA,NA,6.66666666666667,4,20231025,0,20240421
"21867",4278049,"2025",401704808,20241117,"DAL","D. Gafford","C",0,18,4,9,0,0,3,7,8,4,12,0,0,1,3,2,-12,11,"","401704808_4278049",288,14,20.5714285714286,18,20241024,0,20241117
"21954",4278052,"2024",401655123,20240505,"ORL","C. Okeke","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655123_4278052",NA,NA,9.1875,4,20231025,0,20240505
"22049",4278053,"2025",401704813,20241118,"TOR","D. Mitchell","PG",1,33,4,7,1,2,2,2,0,0,0,4,0,0,3,5,26,11,"","401704813_4278053",438,15,29.2,33,20241023,0,20241118
"22194",4278067,"2025",401704784,20241113,"BKN","N. Claxton","C",1,24,1,3,0,0,1,1,0,5,5,2,0,0,1,1,-6,3,"","401704784_4278067",272,11,24.7272727272727,24,20241023,0,20241113
"22223",4278073,"2025",401704808,20241117,"OKC","S. Gilgeous-Alexander","PG",1,38,13,19,1,1,9,11,0,2,2,8,2,2,1,1,8,36,"","401704808_4278073",469,14,33.5,38,20241024,0,20241117
"22321",4278075,"2024",401585332,20240204,"DET","K. Knox II","SF",1,13,0,3,0,2,0,0,0,1,1,1,0,0,1,1,1,0,"","401585332_4278075",561,31,18.0967741935484,13,20231110,0,20240204
"22366",4278076,"2025",401704698,20241101,"CHA","N. Richards","C",1,16,0,1,0,0,1,2,1,2,3,1,0,2,1,1,-6,1,"","401704698_4278076",138,5,27.6,16,20241023,0,20241101
"22473",4278077,"2025",401704722,20241104,"LAL","J. Vanderbilt","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704722_4278077",NA,NA,-1,-1,20241104,1,20241104
"22477",4278078,"2025",401704808,20241117,"DAL","P.J. Washington","PF",1,28,7,13,3,4,10,10,6,11,17,2,0,1,1,0,12,27,"","401704808_4278078",273,9,30.3333333333333,28,20241024,0,20241117
"22597",4278103,"2024",401585640,20240322,"TOR","J. Porter","PF",0,21,2,3,1,2,2,2,1,2,3,8,2,1,3,0,1,7,"","401585640_4278103",359,25,14.36,21,20231223,0,20240322
"22701",4278104,"2025",401704804,20241117,"DEN","M. Porter Jr.","SF",1,27,4,12,0,4,2,2,0,3,3,1,0,0,2,1,-15,10,"","401704804_4278104",433,12,36.0833333333333,27,20241024,0,20241117
"22752",4278111,"2025",401704792,20241113,"POR","J. Minaya","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704792_4278111",NA,NA,-1,-1,20241113,1,20241113
"22796",4278124,"2024",401585822,20240414,"PHX","S. Lee","G",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,"","401585822_4278124",185,24,7.70833333333333,5,20231024,0,20240414
"22836",4278129,"2025",401704805,20241117,"POR","D. Ayton","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704805_4278129",NA,NA,29.3636363636364,21,20241023,0,20241117
"22883",4278352,"2024",401585823,20240414,"NO","J. Crutcher","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585823_4278352",NA,NA,3,3,20240225,0,20240414
"22901",4278355,"2025",401704813,20241118,"IND","O. Toppin","PF",0,31,8,13,3,8,0,0,0,2,2,5,2,1,1,1,-3,19,"","401704813_4278355",276,13,21.2307692307692,31,20241023,0,20241118
"23054",4278378,"2024",401585820,20240414,"BKN","J. Gilyard","G",0,18,0,4,0,4,0,0,0,0,0,2,4,0,1,0,-8,0,"","401585820_4278378",697,40,17.425,18,20231025,0,20240414
"23066",4278402,"2024",401585821,20240414,"MEM","J. Goodwin","G",1,37,3,13,0,3,2,4,2,6,8,3,3,0,1,1,-20,8,"","401585821_4278402",1059,56,18.9107142857143,37,20231024,0,20240414
"23129",4278412,"2024",401585823,20240414,"NO","I. Brockington","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585823_4278412",NA,NA,3,-1,20240305,0,20240414
"23151",4278508,"2024",401585825,20240414,"DET","T. Brown Jr.","SF",1,11,0,3,0,0,0,0,0,3,3,1,1,1,0,0,-9,0,"","401585825_4278508",827,59,14.0169491525424,11,20231025,0,20240414
"23219",4278541,"2025",401704797,20241116,"NO","J. Nowell","SG",0,35,6,18,2,7,2,2,1,5,6,3,0,1,1,0,-7,16,"","401704797_4278541",147,7,21,35,20241103,0,20241116
"23262",4278562,"2025",401704810,20241118,"DET","P. Reed","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704810_4278562",NA,NA,9.42857142857143,4,20241023,0,20241118
"23404",4278572,"2025",401704797,20241116,"NO","J. Cain","F",0,21,2,8,1,3,1,2,5,3,8,2,0,1,1,4,-8,6,"","401704797_4278572",135,9,15,21,20241029,0,20241116
"23417",4278580,"2025",401704798,20241116,"SA","S. Mamukelashvili","PF",0,17,3,7,2,6,6,6,0,6,6,2,0,1,0,0,5,14,"","401704798_4278580",100,11,9.09090909090909,17,20241024,0,20241116
"23547",4278585,"2025",401704697,20241031,"PHX","C. Gillespie","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704697_4278585",NA,NA,3,3,20241025,0,20241031
"23578",4278588,"2024",401585827,20240414,"HOU","J. Samuels Jr.","F",0,5,0,0,0,0,0,0,0,1,1,1,0,1,0,1,-1,0,"","401585827_4278588",59,13,4.53846153846154,5,20231025,0,20240414
"23671",4278594,"2025",401704808,20241117,"DAL","N. Marshall","SF",0,27,4,6,0,1,5,5,2,2,4,3,0,0,4,1,-8,13,"","401704808_4278594",332,14,23.7142857142857,27,20241024,0,20241117
"23682",4279118,"2025",401704816,20241118,"ATL","K. Wallace","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704816_4279118",NA,NA,16.25,17,20241023,0,20241118
"23721",4279532,"2025",401704814,20241118,"MIL","S. Umude","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704814_4279532",NA,NA,4.33333333333333,2,20241104,0,20241118
"23752",4279815,"2024",401585719,20240401,"CHI","T. Taylor","F",0,10,1,2,0,0,2,2,2,0,2,0,1,0,0,0,2,4,"","401585719_4279815",188,31,6.06451612903226,10,20231025,0,20240401
"23838",4279888,"2025",401704740,20241106,"MEM","J. Morant","PG",1,24,7,17,2,3,4,5,0,4,4,5,1,1,5,2,8,20,"","401704740_4279888",223,8,27.875,24,20241023,0,20241106
"23870",4280151,"2025",401704812,20241118,"WSH","C. Kispert","SF",0,31,5,13,4,9,4,4,2,4,6,2,1,0,0,2,-13,18,"","401704812_4280151",388,13,29.8461538461538,31,20241024,0,20241118
"23942",4280181,"2024",401584851,20231120,"SA","S. Rice","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401584851_4280181",NA,NA,-1,-1,20231117,0,20231120
"23957",4280245,"2024",401585825,20240414,"SA","J. Bouyea","G",0,22,2,4,1,1,0,0,1,7,8,2,0,0,1,5,12,5,"","401585825_4280245",94,9,10.4444444444444,22,20231112,0,20240414
"23977",4291678,"2025",401704811,20241118,"MIA","H. Highsmith","F",1,32,3,5,3,3,0,0,0,1,1,1,0,1,2,2,21,9,"","401704811_4291678",275,11,25,32,20241023,0,20241118
"24100",4348700,"2025",401704815,20241118,"ORL","G. Bitadze","C",1,31,7,8,0,0,3,4,3,7,10,1,0,2,1,5,9,17,"","401704815_4348700",228,11,20.7272727272727,31,20241023,0,20241118
"24176",4351851,"2025",401703377,20241112,"POR","A. Simons","SG",1,5,1,2,0,1,0,0,0,1,1,0,0,0,0,0,-1,2,"","401703377_4351851",357,12,29.75,5,20241023,0,20241112
"24222",4351852,"2024",401657420,20240506,"NY","M. Robinson","C",0,12,1,1,0,0,0,0,1,1,2,1,0,0,0,3,-8,2,"","401657420_4351852",881,37,23.8108108108108,12,20231025,0,20240506
"24272",4395620,"2025",401704804,20241117,"DEN","H. Tyson","F",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","401704804_4395620",79,8,9.875,1,20241024,0,20241117
"24362",4395623,"2025",401704797,20241116,"NO","T. Jemison III","C",0,19,3,4,0,0,2,2,0,2,2,0,1,0,0,3,-3,8,"","401704797_4395623",81,8,10.125,19,20241023,0,20241116
"24426",4395625,"2025",401704813,20241118,"TOR","R. Barrett","SG",1,36,13,21,4,8,9,12,1,8,9,5,0,0,5,2,12,39,"","401704813_4395625",410,12,34.1666666666667,36,20241028,0,20241118
"24505",4395626,"2025",401704798,20241116,"SA","T. Jones","PG",0,19,1,5,1,3,0,0,0,3,3,4,0,0,1,3,1,3,"","401704798_4395626",35,2,17.5,19,20241024,0,20241116
"24568",4395627,"2025",401704797,20241116,"LAL","C. Reddish","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704797_4395627",NA,NA,21.1428571428571,19,20241022,0,20241116
"24614",4395628,"2025",401704752,20241108,"NO","Z. Williamson","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704752_4395628",NA,NA,31,29,20241025,0,20241108
"24707",4395630,"2025",401703384,20241115,"SA","D. Vassell","SG",0,22,6,13,3,8,0,0,0,0,0,5,1,1,0,4,-13,15,"","401703384_4395630",90,4,22.5,22,20241109,0,20241115
"24794",4395650,"2024",401585815,20240414,"CHA","L. Black","F",0,32,4,4,2,2,1,1,0,6,6,5,2,1,0,3,22,11,"","401585815_4395650",284,26,10.9230769230769,32,20231025,0,20240414
"24883",4395651,"2025",401704810,20241118,"CHI","C. White","PG",1,33,9,14,5,10,2,2,0,4,4,4,0,1,1,3,-3,25,"","401704810_4395651",493,15,32.8666666666667,33,20241023,0,20241118
"24943",4395652,"2024",401655090,20240428,"PHX","N. Little","SF",0,7,0,1,0,1,0,0,0,1,1,0,0,0,0,2,-6,0,"","401655090_4395652",473,48,9.85416666666667,7,20231024,0,20240428
"24980",4395676,"2024",401585825,20240414,"DET","B. Boeheim","F",0,12,0,2,0,2,3,5,2,0,2,0,0,0,0,1,-4,3,"","401585825_4395676",82,10,8.2,12,20240320,0,20240414
"25029",4395695,"2025",401704812,20241118,"WSH","J. Butler","SG",0,6,2,2,0,0,0,1,0,0,0,4,1,0,1,1,-1,4,"","401704812_4395695",83,10,8.3,6,20241024,0,20241118
"25107",4395698,"2024",401585826,20240414,"UTAH","K. Lewis Jr.","PG",0,28,6,12,0,2,1,1,1,2,3,3,1,0,1,1,-20,13,"","401585826_4395698",263,28,9.39285714285714,28,20231025,0,20240414
"25159",4395702,"2025",401704808,20241117,"OKC","I. Joe","SG",1,26,2,6,2,6,0,0,0,2,2,4,1,1,1,4,2,6,"","401704808_4395702",311,14,22.2142857142857,26,20241024,0,20241117
"25239",4395704,"2025",401704816,20241118,"SAC","M. Jones","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704816_4395704",NA,NA,4,8,20241104,0,20241118
"25337",4395712,"2025",401704801,20241117,"IND","A. Nembhard","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704801_4395712",NA,NA,26.5714285714286,31,20241023,0,20241117
"25348",4395714,"2024",401654762,20240421,"OKC","K. Johnson","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401654762_4395714",NA,NA,7.44444444444444,2,20231029,0,20240421
"25371",4395722,"2024",401585797,20240411,"POR","A. Hagans","G",0,14,2,4,1,3,0,0,1,1,2,4,1,0,1,1,4,5,"","401585797_4395722",316,19,16.6315789473684,14,20240208,0,20240411
"25385",4395723,"2025",401704798,20241116,"SA","K. Johnson","SF",0,21,3,11,0,2,2,2,1,4,5,2,4,0,0,1,-7,8,"","401704798_4395723",370,14,26.4285714285714,21,20241024,0,20241116
"25498",4395724,"2025",401704813,20241118,"TOR","I. Quickley","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704813_4395724",NA,NA,22.3333333333333,27,20241023,0,20241118
"25587",4395725,"2025",401704811,20241118,"MIA","T. Herro","PG",1,32,6,15,2,10,4,4,1,4,5,5,0,0,3,0,12,18,"","401704811_4395725",439,13,33.7692307692308,32,20241023,0,20241118
"25625",4396629,"2024",401585827,20240414,"HOU","N. Hinton","G",0,14,1,3,0,2,0,0,1,4,5,4,0,0,0,1,-2,2,"","401585827_4396629",75,14,5.35714285714286,14,20231101,0,20240414
"25636",4396676,"2024",401585026,20231223,"DAL","D. Dennis","G",0,6,0,2,0,2,0,0,0,2,2,0,0,1,3,1,-12,0,"","401585026_4396676",30,4,7.5,6,20231201,0,20231223
"25660",4396818,"2025",401704817,20241118,"LAC","J. Miller","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704817_4396818",NA,NA,7.25,10,20241023,0,20241118
"25697",4396907,"2025",401704802,20241117,"CLE","D. Garland","PG",1,30,7,16,2,5,9,9,0,5,5,12,0,0,2,2,12,25,"","401704802_4396907",453,15,30.2,30,20241023,0,20241117
"25840",4396909,"2025",401704801,20241117,"IND","A. Nesmith","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704801_4396909",NA,NA,22.6666666666667,10,20241023,0,20241117
"25869",4396971,"2025",401704800,20241117,"MIN","N. Reid","C",0,22,4,10,1,6,4,5,2,2,4,1,1,0,2,1,-15,13,"","401704800_4396971",346,14,24.7142857142857,22,20241022,0,20241117
"25969",4396972,"2024",401585010,20231222,"PHI","J. Smart","G",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,"","401585010_4396972",1,1,1,-1,20231222,1,20231222
"26023",4396991,"2025",401704810,20241118,"CHI","T. Horton-Tucker","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704810_4396991",NA,NA,9.4,10,20241023,0,20241118
"26081",4396993,"2025",401704813,20241118,"IND","T. Haliburton","PG",1,39,5,18,2,9,4,4,2,1,3,4,5,2,1,4,-15,16,"","401704813_4396993",494,14,35.2857142857143,39,20241023,0,20241118
"26218",4397002,"2025",401704810,20241118,"CHI","A. Dosunmu","SG",0,33,4,12,0,2,1,2,1,0,1,1,0,1,0,0,8,9,"","401704810_4397002",423,15,28.2,33,20241023,0,20241118
"26291",4397014,"2025",401704808,20241117,"DAL","Q. Grimes","SG",1,21,2,5,2,4,4,4,0,3,3,2,0,0,1,3,9,10,"","401704808_4397014",216,13,16.6153846153846,21,20241024,0,20241117
"26390",4397018,"2025",401704813,20241118,"TOR","O. Agbaji","G",1,33,4,7,2,3,1,2,1,3,4,6,1,3,2,5,12,11,"","401704813_4397018",487,15,32.4666666666667,33,20241023,0,20241118
"26502",4397020,"2025",401704808,20241117,"OKC","L. Dort","G",1,36,5,10,4,9,4,6,2,3,5,3,0,0,1,2,13,18,"","401704808_4397020",401,14,28.6428571428571,36,20241024,0,20241117
"26565",4397040,"2025",401704808,20241117,"DAL","B. Williams","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704808_4397040",NA,NA,4.75,6,20241028,0,20241117
"26569",4397071,"2025",401704783,20241113,"ORL","M. McClung","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704783_4397071",NA,NA,5,5,20241025,0,20241113
"26597",4397077,"2025",401704777,20241110,"LAL","J. Hayes","C",0,21,4,6,0,0,4,6,3,3,6,1,0,1,0,4,21,12,"","401704777_4397077",175,10,17.5,21,20241022,0,20241110
"26743",4397102,"2025",401704815,20241118,"PHX","B. Bol","C",0,6,0,1,0,1,1,2,0,0,0,0,0,0,0,0,-4,1,"","401704815_4397102",17,3,5.66666666666667,6,20241023,0,20241118
"26756",4397104,"2024",401584980,20231218,"ATL","M. Norris","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401584980_4397104",NA,NA,-1,-1,20231218,1,20231218
"26767",4397107,"2025",401704739,20241106,"SA","D. Duke Jr.","G",0,8,1,4,0,1,1,2,0,0,0,2,0,0,0,1,0,3,"","401704739_4397107",8,1,8,8,20241026,0,20241106
"26796",4397119,"2025",401704802,20241117,"CHA","J. Rhoden","G",0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,1,-1,0,"","401704802_4397119",12,4,3,2,20241023,0,20241117
"26806",4397126,"2024",401585828,20240414,"POR","M. Brown","C",1,15,4,7,0,0,1,2,2,5,7,0,2,0,2,2,-10,9,"","401585828_4397126",201,22,9.13636363636364,15,20231025,0,20240414
"26886",4397127,"2024",401585814,20240414,"WSH","J. Bernard","SG",0,24,5,10,2,4,1,1,2,4,6,3,1,0,2,0,8,13,"","401585814_4397127",149,19,7.84210526315789,24,20231208,0,20240414
"26913",4397134,"2025",401703380,20241115,"DET","C. Swider","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401703380_4397134",NA,NA,-1,-1,20241023,0,20241115
"26956",4397136,"2024",401585553,20240310,"ATL","S. Bey","SF",1,27,3,11,3,8,5,6,1,4,5,2,0,0,0,1,-6,14,"","401585553_4397136",2060,63,32.6984126984127,27,20231025,0,20240310
"27031",4397140,"2025",401704817,20241118,"LAC","K. Porter Jr.","SG",0,16,3,9,0,0,2,2,0,0,0,1,0,2,3,0,-4,8,"","401704817_4397140",256,15,17.0666666666667,16,20241023,0,20241118
"27032",4397148,"2024",401585821,20240414,"MEM","T. Allen","F",0,24,0,2,0,0,1,2,0,1,1,1,2,0,0,3,-6,1,"","401585821_4397148",124,5,24.8,24,20240406,0,20240414
"27050",4397179,"2025",401704806,20241117,"BKN","T. Martin","G",0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,3,"","401704806_4397179",21,4,5.25,1,20241023,0,20241117
