"","PlayerId","seasonYear","GameId","Date","Team","Name","Position","Starter","Min","Fg.Made","Fg.Attempted","Three.Made","Three.Attempted","FT.Made","FT.Attempted","Offensive.Rebound","Defensive.Rebound","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Plus.Minus","Points","bookmaker","id","cumMinInSeason","cumGamesPlayedInSeason","averageMinutesInSeason","lastGameMin","FirstDate","firstGame","LastDate"
"3689",6462,"2024",401658228,20240515,"CLE","M. Morris Sr.","SF",0,34,10,13,5,6,0,1,0,3,3,0,2,0,1,0,-13,25,"","401658228_6462",956,58,16.4827586206897,34,20231102,0,20240515
"3734",6472,"2024",401655090,20240428,"PHX","I. Thomas","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655090_6472",NA,NA,3.42857142857143,4,20240320,0,20240428
"3823",6474,"2025",401704802,20241117,"CLE","T. Thompson","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704802_6474",NA,NA,5.16666666666667,5,20241023,0,20241117
"3906",6475,"2025",401704808,20241117,"DAL","K. Thompson","SG",1,25,1,11,1,8,2,2,0,3,3,0,2,1,0,0,-5,5,"","401704808_6475",408,14,29.1428571428571,25,20241024,0,20241117
"3930",6477,"2025",401704812,20241118,"WSH","J. Valanciunas","C",0,18,8,11,0,0,2,2,4,4,8,3,0,2,2,1,-2,18,"","401704812_6477",260,13,20,18,20241024,0,20241118
"4085",6478,"2025",401704810,20241118,"CHI","N. Vucevic","C",1,35,11,18,6,8,1,2,2,10,12,3,0,3,0,2,24,29,"","401704810_6478",482,15,32.1333333333333,35,20241023,0,20241118
"4145",6578,"2025",401704798,20241116,"SA","H. Barnes","SF",1,24,1,6,1,4,1,2,1,2,3,2,0,0,1,0,-25,4,"","401704798_6578",396,14,28.2857142857143,24,20241024,0,20241116
"4284",6580,"2025",401703375,20241112,"PHX","B. Beal","SG",1,29,8,15,4,7,4,4,0,3,3,4,2,1,2,3,8,24,"","401703375_6580",311,9,34.5555555555556,29,20241023,0,20241112
"4325",6581,"2024",401655116,20240502,"MIL","J. Crowder","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655116_6581",NA,NA,22.1851851851852,13,20231026,0,20240502
"4376",6583,"2025",401704797,20241116,"LAL","A. Davis","PF",1,37,12,20,2,4,5,7,3,11,14,1,2,1,2,3,2,31,"","401704797_6583",423,12,35.25,37,20241022,0,20241116
"4529",6585,"2025",401704811,20241118,"PHI","A. Drummond","C",0,12,3,4,0,1,0,0,0,5,5,1,1,1,1,2,13,6,"","401704811_6585",268,12,22.3333333333333,12,20241023,0,20241118
"4563",6588,"2024",401585825,20240414,"DET","E. Fournier","SG",0,17,3,8,0,3,0,1,0,1,1,1,1,0,0,1,-12,6,"","401585825_6588",584,32,18.25,17,20231025,0,20240414
"4699",6589,"2025",401704817,20241118,"GS","D. Green","PF",1,32,3,7,2,3,1,2,1,8,9,7,1,1,6,3,-3,9,"","401704817_6589",366,13,28.1538461538462,32,20241023,0,20241118
"4770",6606,"2025",401704814,20241118,"MIL","D. Lillard","PG",1,36,6,18,0,6,6,7,0,4,4,10,0,0,2,1,-4,18,"","401704814_6606",394,11,35.8181818181818,36,20241023,0,20241118
